frameNo: 17 | Accumulated: 0MouseOnly?7760684633126
frameNo: 17 | Accumulated: 0MouseOnly?7760684659766
frameNo: 17 | Accumulated: 0MouseOnly?7760684687885
frameNo: 17 | Accumulated: 0MouseOnly?7760684714515
frameNo: 17 | Accumulated: 0MouseOnly?7760684723372
frameNo: 17 | Accumulated: 0MouseOnly?7760684741101
frameNo: 17 | Accumulated: 0MouseOnly?7760684743883
frameNo: 17 | Accumulated: 0MouseOnly?7760684767204
frameNo: 17 | Accumulated: 0MouseOnly?7760684768085
frameNo: 17 | Accumulated: 0MouseOnly?7760684783410
frameNo: 17 | Accumulated: 0MouseOnly?7760684795273
frameNo: 17 | Accumulated: 0MouseOnly?7760684821751
frameNo: 17 | Accumulated: 0MouseOnly?7760684849243
frameNo: 17 | Accumulated: 0MouseOnly?7760684876793
frameNo: 17 | Accumulated: 0MouseOnly?7760684904395
frameNo: 17 | Accumulated: 0MouseOnly?7760684930931
frameNo: 17 | Accumulated: 0MouseOnly?7760684958570
frameNo: 17 | Accumulated: 0MouseOnly?7760684986096
frameNo: 17 | Accumulated: 0MouseOnly?7760685039871
frameNo: 17 | Accumulated: 0MouseOnly?7760685067269
frameNo: 17 | Accumulated: 0MouseOnly?7760685094699
frameNo: 17 | Accumulated: 0MouseOnly?7760685121974
frameNo: 17 | Accumulated: 0MouseOnly?7760685149391
frameNo: 17 | Accumulated: 0MouseOnly?7760685176755
frameNo: 17 | Accumulated: 0MouseOnly?7760685203825
frameNo: 17 | Accumulated: 0MouseOnly?7760685231306
frameNo: 17 | Accumulated: 0MouseOnly?7760685258362
frameNo: 17 | Accumulated: 0MouseOnly?7760685285763
frameNo: 17 | Accumulated: 0MouseOnly?7760685294306
frameNo: 17 | Accumulated: 0MouseOnly?7760685312906
frameNo: 17 | Accumulated: 0MouseOnly?7760685318262
frameNo: 17 | Accumulated: 0MouseOnly?7760685340502
frameNo: 17 | Accumulated: 0MouseOnly?7760685367331
frameNo: 17 | Accumulated: 0MouseOnly?7760685394841
frameNo: 17 | Accumulated: 0MouseOnly?7760685422138
frameNo: 17 | Accumulated: 0MouseOnly?7760685449395
frameNo: 17 | Accumulated: 0MouseOnly?7760685476759
